位置,大小,价格,单位
山水檀溪水园南北通透中央空调 2室高层 安厦好房 山水檀溪秀园,2室2厅|100平米|14/15层卢旭芳 整租 南北,2200 ,元/月
安厦 襄城檀溪轴承厂对面檀溪公馆旁陶瓷厂家属院精装2室2厅 檀溪路万陶小区,2室2厅|90平米|4/6层臧升群 整租 南北,1000 ,元/月
檀溪府电梯新区二房拎包入住，1600送宽带 檀溪府邸,2室2厅|84平米|8/19层王立 整租 南北,1600 ,元/月
襄城丽江泊林 环境好 拎包入住 安厦 华凯丽江泊林,3室2厅|140平米|4/8层冯燕红 整租 南北,2200 ,元/月
襄城四中对面，陪读首 选，装修保持好 2室 家具齐拎包入住 生活一区,2室2厅|68平米|3/6层张小琴 整租 南北,2000 ,元/月
鼓楼财局家属院 中间楼层 拎包入住停车方便 民安公寓,2室2厅|85平米|1/7层黄虹玲 整租 南北,1700 ,元/月
湖北文理学院商品房新装修可短租家具齐全3室2厅单间200元 609研究所,3室2厅|75平米|3/7层陈程 整租 南北,200 ,元/月
安嘉好房出租，山水檀溪明园。精装修拎包入住 山水檀溪明园,1室1厅|42平米|6/9层朱雪平 整租 朝南,1500 ,元/月
檀溪恒大名都1室1厅家具家电齐全 有钥匙看房方便 恒大名都,1室1厅|39平米|10/32层夏萍 整租 朝南,1600 ,元/月
东门口居家舒适小三室，适合上学务工人员的选择 东城逸景,3室1厅|97平米|4/6层沈伟 整租 南北,1200 ,元/月
人民广场解放路精装3室 襄阳市新华书店家属院,3室1厅|120平米|6/7层王少想 合租 南北,1400 ,元/月
安厦优选 襄城 东门口 北京公馆附近 王家洼1室1厅400元 北京公馆,1室1厅|40平米|1/3层王春红 整租 朝南,350 ,元/月
西门桥102家属院好房出租，位置好，家具家电齐全，采光好 丽波湾,2室2厅|85平米|7/8层盛光燕 整租 南北,900 ,元/月
沿江大道学府花园2室房出租 学府花园,2室2厅|90平米|2/4层聂雨菡 整租 南北,1800 ,元/月
（安厦好房）庞公路 梧桐湾 精装三室 中间楼层 直接拎包入住 冠通梧桐湾,3室2厅|97平米|16/18层冷孝红 整租 南北,2300 ,元/月
解放路新华书店家属院 简装三室家电家具齐 可拎包入住 襄阳市新华书店家属院,3室2厅|150平米|2/6层张进军 整租 南北,1800 ,元/月
襄城东门口商品房小区 三室精装修 拎包入住 安厦 仟和惠景,3室2厅|145平米|5/7层冯燕红 整租 南北,2000 ,元/月
安厦 三桥头金色营盘精装二室 小区环境好 交通便利 骧龙国际,2室2厅|80平米|11/16层徐娟 整租 南北,1000 ,元/月
胜利街36中半山逸品山水文景静雅苑2室精装拎包入住非常干净 静雅苑,3室2厅|110平米|5/5层吴莹 整租 南北,1000 ,元/月
胜利街静雅苑2房，近公交站，新建公园旁，精装修拎包入住！！ 静雅苑,2室2厅|92平米|6/7层王文俊 整租 南北,1400 ,元/月
室内干净明亮，家俱家电齐全，交通方便 襄城春天,2室2厅|98平米|5/7层王军 整租 南北,1600 ,元/月
安厦好房 东门口华电对面鼎盛苑 两室家具家电齐全 看房方便 中房鼎盛源,2室2厅|65平米|4/6层张曼 整租 南北,1300 ,元/月
六化建育才小区，南北通透有阳台，看房方便，诚意出租！！ 六化建育才小区,2室2厅|80平米|7/7层王文俊 整租 南北,1000 ,元/月
恒大名都精装两室户型好光线好安厦好房 恒大名都,2室2厅|87平米|30/32层王红玲 合租 南北,2000 ,元/月
安嘉好房出租，家具家电期，拎包入住 檀溪府邸,3室2厅|137平米|10/25层朱雪平 整租 朝南,2500 ,元/月
东街 武商量贩与襄城剧院旁 二室一厅 交通方便,2室1厅|75平米|2/5层刘源 整租 南北,1800 ,元/月
襄城丽江泊林 高端小区 精装修 拎包入住 安厦 华凯丽江泊林,3室2厅|97平米|2/8层冯燕红 整租 南北,2000 ,元/月
出租檀溪检察院家属院2室有家具家电！ 盛景名门,2室2厅|88平米|5/6层彭丹 整租 南北,1600 ,元/月
安厦 恒大名都精装一室 家具家电齐全 均价低 恒大名都,1室1厅|39平米|10/32层马思维 整租 南北,1600 ,元/月
北街33中旁一轻公司 有院子有保安 拎包入住 鼓楼公寓,2室1厅|70平米|2/6层张亚丽 整租 南北,1900 ,元/月
四中对面单位家属院，免费物业免停车位只租1800， 四中小学家属院,2室2厅|68平米|5/7层王立 整租 南北,1800 ,元/月
安厦出租 鼓楼商场旁联达小区精装房两室两厅家具家电齐全 联达小区,2室2厅|95平米|3/4层陈枝敏 整租 南北,2200 ,元/月
檀溪恒大名都精装2室 家具家电齐全 阳台朝南 恒大名都,2室2厅|87平米|30/32层夏萍 整租 南北,1900 ,元/月
檀溪路吉阳旁檀溪新居，近图书馆，电梯2房，楼层好看房方便！ 檀溪新居,2室1厅|85平米|14/15层王文俊 整租 南北,1800 ,元/月
鼓楼附近带家具，家电三居室，干净整洁，拎包入住 鼓楼公寓,3室1厅|97平米|3/7层彭军华 整租 南北,1800 ,元/月
（安厦好房）丽江泊林高档花园小区精装两室电梯房家具家电齐全 华凯丽江泊林,2室2厅|80平米|8/8层袁飞 整租 南北,1700 ,元/月
（安厦好房）东门口一轻局家属院 精装两室 有钥匙 拎包入住 隆馨家园,2室2厅|69平米|1/1层辛美娜 整租 南北,1200 ,元/月
安厦优选 檀溪路图书馆旁电梯房精装修家具家电齐全 檀溪新居,2室2厅|83平米|14/15层辛美娜 整租 南北,1800 ,元/月
安厦优选襄城檀溪路国际商都单间公寓出租 国际商都,2室1厅|55平米|3/3层邹学亭 整租 南北,800 ,元/月
